Company name,Domain,Revenue range,HQ Address,Phone number,# of Employees,Year founded
Strange Engine,https://strange-engine.fr,"$1,000 +","Arras, Hauts-de-France, France",,Remote work,9-Jan
TORQ Marketing,https://www.torq.marketing/,Any,"Sheridan, Wyoming, United States",,Remote work,9-Jan
Datafunc,https://datafunc.com/,"$2,500 +","Athens, Athens, Attica, Greece",,Remote work,9-Jan
Lighthouse Power Business,https://www.lighthousepowerbusiness.com,"$2,500 - 5,000",United States,,Remote work,Oct-49
The Builders Agency,https://thebuildersagency.com/,"$0 -  5,000","Chapel Hill, North Carolina, United States",,Remote work,9-Jan
Aspire Marketing Group,https://www.aspiremarketing.group,"$2,500 +","Pittsburgh, Pennsylvania, United States",,Remote work,9-Jan
The Metainbound,https://www.themetainbound.com,Any,Chile,,Remote work,9-Jan
Magnet Co Web Agency,https://magnet.co,"$5,000+","Cincinnati, Ohio, United States",,Remote work,Oct-49
GOA-TECH,https://goa-tech.com/,Any,"Florida, United States",,"Georgia, United States",Oct-49
ABART Digital,https://www.abart-digital.com,"$1,000 +","Heidelberg, Baden-Wurttemberg, Germany",,Remote work,9-Jan
Archmark | Branding & Marketing for Architects,https://www.archmark.co,"$2,500 +",United States,,9-Jan,2012
AnotherSight,https://,Any,,,,
Big Sea,https://bigsea.co/,Any,"Florida, United States",,Remote work,Oct-49
Six One Creative,https://sixonecreative.co.uk/,Any,"Farnham, England, United Kingdom",,Remote work,9-Jan
EngineRoom,https://www.engineroom.com.au,"$5,000+","Melbourne, Victoria, Australia",,Remote work,Oct-49
Bytebio,https://www.bytebio.com,"$1,000 +","Ribeirao Preto, State of Sao Paulo, Brazil",,Remote work,Oct-49
Surgeon's Advisor,https://www.surgeonsadvisor.com,Any,"Miami Beach, Florida, United States",,Remote work,Oct-49
Webserv,https://webserv.io,"$2,500 +","Irvine, California, United States",,Oct-49,2017
Picapoint Studio AS,https://www.picapoint.no,"$1,000 +",Norway,,Remote work,Oct-49
Dragon Horse Agency,https://www.dragonhorseagency.com,Any,"Naples, Florida, United States",,Remote work,Oct-49
Charley Grey,https://www.charleygrey.com/,"$2,500 +","Carmel, Indiana, United States",,Remote work,9-Jan
Saffron Tech,https://www.saffrontech.net/,"$0 -  5,000","Fairfield, New Jersey, United States",,Oct-49,2008
R\West,https://rwest.com/,"$5,000+",United States,,Remote work,50-249
MJI Marketing,https://www.mjimarketing.com,"$1,000 - 2,500","Roanoke, Virginia, United States",,Remote work,9-Jan
NUR Digital Marketing,https://www.nur.it,Any,"Mantua, Lombardy, Italy",,Remote work,Oct-49
Ikusa Marketing,https://ikusamarketing.com/,Any,"Ashland, Oregon, United States",,Remote work,9-Jan
The Media Shop,https://www.themediashop.co,"$1,000 +",United States,,Remote work,9-Jan
Factory Communication S.r.l.,https://www.factorycommunication.it,"$1,000 +","Milan, Lombardy, Italy",,Remote work,9-Jan
smartboost,https://smartboost.com/,Any,"Las Vegas, Nevada, United States",,"San Diego, California, United States",Oct-49
Lead Gear,https://leadgear.com,"$5,000+","Richardson, Texas, United States",,Remote work,Oct-49
ThrivePOP,https://www.thrivepop.com,"$1,000 +","Michigan, United States",,Remote work,Oct-49
Consumr Buzz,https://consumrbuzz.com,Any,"Florida, United States",,Remote work,Oct-49
MarketEagle,https://www.marketeagle.nl,Any,Netherlands,,Remote work,9-Jan
Rank Fuse Digital Marketing,https://rankfuse.com,Any,"Overland Park, Kansas, United States",,Remote work,9-Jan
